Auto_id,post_id,title,metadata,genres2,year,genres,image,quality,url
3978,59468,Lupin the Third Season 2 Episode 43,Episode: 43|Air Date: 1978-07-31|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-43/
3977,59467,Lupin the Third Season 2 Episode 42,Episode: 42|Air Date: 1978-07-24|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-42/
3976,59470,Lupin the Third Season 2 Episode 45,Episode: 45|Air Date: 1978-08-14|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-45/
3975,59469,Lupin the Third Season 2 Episode 44,Episode: 44|Air Date: 1978-08-07|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-44/
3974,59472,Lupin the Third Season 2 Episode 47,Episode: 47|Air Date: 1978-08-28|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-47/
3973,59471,Lupin the Third Season 2 Episode 46,Episode: 46|Air Date: 1978-08-21|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-46/
3972,59474,Lupin the Third Season 2 Episode 49,Episode: 49|Air Date: 1978-09-11|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-49/
3971,59473,Lupin the Third Season 2 Episode 48,Episode: 48|Air Date: 1978-09-04|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-48/
3970,59476,Lupin the Third Season 2 Episode 51,Episode: 51|Air Date: 1978-09-25|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-51/
3969,59475,Lupin the Third Season 2 Episode 50,Episode: 50|Air Date: 1978-09-18|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-50/
3968,59477,Lupin the Third Season 2 Episode 52,Episode: 52|Air Date: 1978-10-02|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-52/
3967,59478,Lupin the Third Season 2 Episode 53,Episode: 53|Air Date: 1978-10-09|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-53/
3966,59480,Lupin the Third Season 2 Episode 55,Episode: 55|Air Date: 1978-10-23|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-55/
3965,59479,Lupin the Third Season 2 Episode 54,Episode: 54|Air Date: 1978-10-16|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-54/
3964,59482,Lupin the Third Season 2 Episode 57,Episode: 57|Air Date: 1978-11-06|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-57/
3963,59481,Lupin the Third Season 2 Episode 56,Episode: 56|Air Date: 1978-10-30|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-56/
3962,59484,Lupin the Third Season 2 Episode 59,Episode: 59|Air Date: 1978-11-20|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-59/
3961,59483,Lupin the Third Season 2 Episode 58,Episode: 58|Air Date: 1978-11-13|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-58/
3960,59485,Lupin the Third Season 2 Episode 60,Episode: 60|Air Date: 1978-11-27|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-60/
3959,59487,Lupin the Third Season 2 Episode 62,Episode: 62|Air Date: 1978-12-11|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-62/
3958,59486,Lupin the Third Season 2 Episode 61,Episode: 61|Air Date: 1978-12-04|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-61/
3957,59489,Lupin the Third Season 2 Episode 64,Episode: 64|Air Date: 1978-12-25|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-64/
3956,59488,Lupin the Third Season 2 Episode 63,Episode: 63|Air Date: 1978-12-18|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-63/
3955,59491,Lupin the Third Season 2 Episode 66,Episode: 66|Air Date: 1979-01-15|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-66/
3954,59490,Lupin the Third Season 2 Episode 65,Episode: 65|Air Date: 1979-01-08|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-65/
3953,59493,Lupin the Third Season 2 Episode 68,Episode: 68|Air Date: 1979-01-29|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-68/
