post_id,id,title,metadata,textto,genres,release date,year,image,quality,url
post-26075,26075,Kick (2014) Hindi,IMDb: 6|2014|146 min|4212 views,Please USE VPN to Download or SINGUP 1080P [NewGadrive] 4.25GB 1080P [FilePress] 4.25GB 1080P [GDFlix] 4.25GB 720P [NewGadrive] 1.27GB 720P ...,Action|Bollywood|Comedy|India,"Jul. 25, 2014",2014,https://image.tmdb.org/t/p/w185/muRGQIGFcHTyHimE2ru6RSjD8D6.jpg,Hindi HD,https://hdmovie2.guru/movies/kick-2014-hindi-2/
post-34132,34132,Chehre (2021) Hindi HD,IMDb: 6.2|2021|139 min|67585 views,Please USE VPN to Download or SINGUP 1080P [NewGadrive] 4.02GB 1080P [FilePress] 4.02GB 1080P [GDFlix] 4.02GB 720P [NewGadrive] 1.25GB 720P ...,Bollywood|Drama|India|Mystery|Thriller,"Aug. 27, 2021",2021,https://image.tmdb.org/t/p/w185/egpv58u11MxepnNwXtzdMOagRdg.jpg,Hindi HD,https://hdmovie2.guru/movies/chehre-2021-hindi-hd/
post-57309,57309,Money Heist: Korea – Joint Economic Area (2022) Hindi Season 1 Complete Netflix,IMDb: 9.9|2022|202901 views,Please USE VPN to Download or SINGUP 1080P [NewGadrive] 13.13GB 1080P [FilePress] 13.13GB 1080P [GDFlix] 13.13GB 720P [NewGadrive] 7.59GB 720P ...,Action|Crime|Drama|Hindi Dubbed|NETFLIX|TV- Show|TV-Series,"Jun. 24, 2022",2022,https://image.tmdb.org/t/p/w185/mbsRGqJtdKcVbjQxkrfzKCAkYoU.jpg,Hindi Tv Series,https://hdmovie2.guru/movies/money-heist-korea-joint-economic-area-2022-hindi-season-1-complete-netflix/
post-80442,80442,Dawn of War (2020) Hindi Dubbed,IMDb: 6.9|2020|100 min|2276 views,1080P [NewGadrive] 6.7GB 1080P [FilePress] 6.7GB 1080P [GDFlix] 6.7GB 720P [NewGadrive] 1.35GB 720P [FilePress] 1.35GB 720P [GDFlix] 1.35GB 480P ...,Hindi Dubbed|India|Thriller,"Oct. 06, 2020",2020,https://image.tmdb.org/t/p/w185/oqpRzkTQrL9AaB4WRT32OEQ9nAZ.jpg,Hindi Dubbed,https://hdmovie2.guru/movies/dawn-of-war-2020-hindi-dubbed/
