Auto_id,post_id,title,metadata,genres,year,image,quality,url
1280,77209,Dooriyaan (1979),IMDb: 6.0|1979|132 min,Bollywood|Drama|Music|Romance,1979,https://img.hindilinks4u.to/2015/10/Dooriyaan-1979-206x300.jpg,HINDI,https://yomovies.date/dooriyaan-1979-Watch-online-full-movie/
1279,77220,Kaccha Limboo (2011),IMDb: 6.3|2011|141 min,Bollywood|Comedy|Drama|Family,2011,https://image.tmdb.org/t/p/w185/rpS2hy3PcXn8sv7tsWbYV6HI4BP.jpg,HINDI,https://yomovies.date/kaccha-limboo-2011-Watch-online-full-movie/
1278,77244,Pret Atma (1997),IMDb: 5.3|1997|123 min,Bollywood|Drama|Horror|Romance,1997,https://i2.cinestaan.com/image-bank/1500-1500/33001-34000/33762.jpg,HINDI,https://yomovies.date/pret-atma-1997-Watch-online-full-movie/
1277,77266,Dharti (1970),IMDb: 6.9|1970|156 min,Action|Adventure|Bollywood|Drama,1970,https://image.tmdb.org/t/p/w185/mawQatTArhdPmv7ImLJo3BgtUHk.jpg,HINDI,https://yomovies.date/dharti-1970-Watch-online-full-movie/
1276,77274,Pighalta Aasman (1985),IMDb: 6.3|1985|148 min,Bollywood|Drama|Music|Romance,1985,https://img.hindilinks4u.to/2016/03/Pighalta-Aasman-1985-206x300.jpg,HINDI,https://yomovies.date/pighalta-aasman-1985-Watch-online-full-movie/
1275,77280,Piya Milan (1985),IMDb: 6.2|1985|143 min,Bollywood|Drama|Music|Romance,1985,https://img.hindilinks4u.to/2016/04/Piya-Milan-1985-206x300.jpg,HINDI,https://yomovies.date/piya-milan-1985-Watch-online-full-movie/
1274,77284,Jaane Jigar (1998),IMDb: 3.5|1998|175 min,Action|Bollywood|Drama|Music|Romance,1998,"https://m.media-amazon.com/images/M/MV5BMTIyNzg1MjY0M15BMl5BanBnXkFtZTcwNTEyNDE0MQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",HINDI,https://yomovies.date/jaane-jigar-1998-Watch-online-full-movie/
1273,77324,Pratighaat (1987),IMDb: 7.3|1987|164 min,Action|Bollywood|Drama,1987,https://i2.cinestaan.com/image-bank/1500-1500/35001-36000/35521.jpg,HINDI,https://yomovies.date/pratighaat-1987-Watch-online-full-movie/
1272,77326,Badman (2016) Hindi,IMDb: 6.2|2016|83 min,Biography|Bollywood|Comedy|Drama,2016,https://image.tmdb.org/t/p/w185/jsEJsxtiohaNrMD2zMoBQx0YVih.jpg,HINDI,https://yomovies.date/badman-2016-2-Watch-online-full-movie/
1271,77329,Kaafila (1990),IMDb: 2.8|1990|147 min,Bollywood|Drama|Thriller,1990,https://img.hindilinks4u.to/2016/06/Kaafila-1990-206x300.jpg,HINDI,https://yomovies.date/kaafila-1990-Watch-online-full-movie/
1270,77337,Kriti (2016),IMDb: 6.6|2016|68 min,Bollywood|Drama|Mystery|Short|Thriller,2016,"https://m.media-amazon.com/images/M/MV5BMTEyYjUyNDYtMTQ3OS00OGJhLTg3OTktZWU4ZWZmMmQwY2VmXkEyXkFqcGdeQXVyNTc4MDg5NzQ@._V1_UY268_CR43,0,182,268_AL_.jpg",HINDI,https://yomovies.date/kriti-2016-Watch-online-full-movie/
1269,77347,Sautela Bhai (1996),IMDb: 6.5|1996|147 min,Bollywood|Drama|Family|Music,1996,https://img.hindilinks4u.to/2016/08/Sautela-Bhai-1996-206x300.png,HINDI,https://yomovies.date/sautela-bhai-1996-Watch-online-full-movie/
1268,77357,Apna Khoon (1978),IMDb: 5.3|1978|146 min,Action|Bollywood|Drama|Music,1978,https://img.hindilinks4u.to/2016/08/Apna-Khoon-1978-206x300.jpg,HINDI,https://yomovies.date/apna-khoon-1978-Watch-online-full-movie/
1267,77363,Paanch Papi (1989),IMDb: 4.1|1989|137 min,Action|Bollywood|Drama,1989,https://img.hindilinks4u.to/2016/09/Paanch-Papi-1989-206x300.jpg,HINDI,https://yomovies.date/paanch-papi-1989-Watch-online-full-movie/
1266,77375,Neel Kamal (1947),IMDb: 6.8|1947|116 min,Bollywood|Drama|Fantasy|Music|Romance,1947,https://image.tmdb.org/t/p/w185/dVhm0JBjZVCrdhxQdT0qPELO8qp.jpg,HINDI,https://yomovies.date/neel-kamal-1947-Watch-online-full-movie/
1265,77456,Zimbo (1958),IMDb: 6.2|1958|146 min,Action|Bollywood|Drama,1958,https://img.hindilinks4u.to/2019/03/Zimbo-1958-206x300.jpg,HINDI,https://yomovies.date/zimbo-1958-Watch-online-full-movie/
1264,77458,Mangal Dada (1986),IMDb: 5.6|1986|157 min,Action|Bollywood|Crime|Drama,1986,https://img.hindilinks4u.to/2016/10/Mangal-Dada-1986-206x300.jpg,HINDI,https://yomovies.date/mangal-dada-1986-Watch-online-full-movie/
1263,77538,Gaon Hamara Shaher Tumhara (1972),IMDb: 6.9|1972|127 min,Action|Bollywood|Drama|Music,1972,https://img.hindilinks4u.to/2016/12/Gaon-Hamara-Shaher-Tumhara-1972-206x300.jpg,HINDI,https://yomovies.date/gaon-hamara-shaher-tumhara-1972-Watch-online-full-movie/
